Q96MA1	DMRTB1
Q96ME7	ZNF512
Q96MM3	ZFP42
Q96MR9	ZNF560
Q96MU6	ZNF778
Q96N20	ZNF75A
Q96N22	ZNF681
Q96N38	ZNF714
Q96N58	ZNF578
Q96N77	ZNF641
Q96N95	ZNF396
Q96ND8	ZNF583
Q96NG5	ZNF558
Q96NG8	ZNF582
Q96NI8	ZNF570
Q96NJ3	ZNF285
Q96NJ6	ZFP3
Q96NK8	NEUROD6
Q96NL3	ZNF599
Q96NU1	SAMD11
Q96NX9	DACH2
Q96NZ1	FOXN4
Q96PE6	ZIM3
Q96PQ6	ZNF317
Q96PT3	DUX5
Q96PT4	DUX3
Q96QR8	PURB
Q96QS3	ARX
Q96RE7	NACC1
Q96RE9	ZNF300
Q96RI1	NR1H4
Q96RJ6	FERD3L
Q96RK0	CIC
Q96RY5	CRAMP1
Q96S65	CSRNP1
Q96SC8	DMRTA2
Q96SE7	ZNF347
Q96SF7	TBX15
Q96SK3	ZNF607
Q96SQ5	ZNF587
Q96SQ7	ATOH8
Q96SR6	ZNF382
Q96SZ4	ZSCAN10
Q96T25	ZIC5
Q96T92	INSM2
Q99081	TCF12
Q99453	PHOX2B
Q99459	CDC5L
Q99527	GPER1
Q99581	FEV
Q99583	MNT
Q99592	ZBTB18
Q99593	TBX5
Q99594	TEAD3
Q99607	ELF4
Q99612	KLF6
Q99626	CDX2
Q99676	ZNF184
Q99684	GFI1
Q99687	MEIS3
Q99697	PITX2
Q99717	SMAD5
Q99732	LITAF
Q99742	NPAS1
Q99743	NPAS2
Q99801	NKX3-1
Q99811	PRRX2
Q99814	EPAS1
Q99853	FOXB1
Q99929	ASCL2
Q99941	ATF6B
Q99958	FOXC2
Q9BQA5	HINFP
Q9BQW3	EBF4
Q9BQY4	RHOXF2
Q9BR39	JPH2
Q9BR84	ZNF559
Q9BRH9	ZNF251
Q9BRJ9	MESP1
Q9BRP0	OVOL2
Q9BRR0	ZKSCAN3
Q9BS31	ZNF649
Q9BS34	ZNF670
Q9BSK1	ZNF577
Q9BT81	SOX7
Q9BTP6	ZBED2
Q9BU19	ZNF692
Q9BUG6	ZSCAN5A
Q9BUY5	ZNF426
Q9BV97	ZNF747
Q9BW11	MXD3
Q9BWE0	REPIN1
Q9BWM5	ZNF416
Q9BWW7	SCRT1
Q9BWX5	GATA5
Q9BX82	ZNF471
Q9BXA9	SALL3
Q9BXG8	SPZ1
Q9BXK1	KLF16
Q9BYE0	HES7
Q9BYN7	ZNF341
Q9BYU1	PBX4
Q9BYV9	BACH2
Q9BZE0	GLIS2
